Antonio Gates,SD,2011.0,6.0,74.0,957.0,9.0,184.7
Jason Witten,DAL,2011.0,5.0,90.0,994.0,7.0,184.4
Vernon Davis,SF,2011.0,7.0,67.0,837.0,8.0,163.2
Jermichael Finley,GB,2011.0,8.0,68.0,865.0,7.0,162.5
Dallas Clark,IND,2011.0,11.0,77.0,856.0,6.0,160.1
Marcedes Lewis,JAC,2011.0,9.0,61.0,723.0,7.0,142.8
Rob Gronkowski,NE,2011.0,7.0,59.0,711.0,7.0,142.6
Chris Cooley,WAS,2011.0,5.0,66.0,767.0,5.0,137.7
Owen Daniels,HOU,2011.0,11.0,60.0,735.0,5.0,133.5
Kellen Winslow,TB,2011.0,8.0,65.0,710.0,5.0,131.5
Jimmy Graham,NO,2011.0,11.0,59.0,655.0,6.0,131.0
Todd Heap,ARI,2011.0,6.0,59.0,695.0,5.0,129.0
Greg Olsen,CAR,2011.0,9.0,60.0,665.0,5.0,126.5
Aaron Hernandez,NE,2011.0,7.0,54.0,625.0,6.0,125.5
Jermaine Gresham,CIN,2011.0,7.0,59.0,615.0,5.0,119.0
Jared Cook,TEN,2011.0,6.0,59.0,616.0,5.0,117.1
Ben Watson,CLE,2011.0,5.0,60.0,630.0,4.0,117.0
Heath Miller,PIT,2011.0,11.0,52.0,596.0,5.0,115.6
Brent Celek,PHI,2011.0,7.0,54.0,605.0,5.0,115.5
Tony Gonzalez,ATL,2011.0,8.0,57.0,554.0,5.0,111.9
Dustin Keller,NYJ,2011.0,8.0,55.0,632.0,4.0,110.7
Travis Beckum,NYG,2011.0,7.0,52.0,545.0,5.0,110.5
Brandon Pettigrew,DET,2011.0,9.0,51.0,546.0,4.0,104.1
Visanthe Shiancoe,MIN,2011.0,9.0,50.0,545.0,4.0,103.5
Anthony Fasano,MIA,2011.0,5.0,51.0,497.0,4.0,99.2
Zach Miller,SEA,2011.0,6.0,45.0,514.0,4.0,95.9
Kevin Boss,OAK,2011.0,8.0,43.0,445.0,3.0,82.0
Ed Dickson,BAL,2011.0,5.0,39.0,421.0,3.0,79.6
Leonard Pope,KC,2011.0,6.0,39.0,385.0,3.0,76.0
Lance Kendricks,STL,2011.0,5.0,36.0,414.0,3.0,75.4
Tony Scheffler,DET,2011.0,9.0,34.0,392.0,2.0,68.2
Evan Moore,CLE,2011.0,5.0,36.0,382.0,2.0,68.2
Kellen Davis,CHI,2011.0,8.0,29.0,345.0,2.0,61.0
Jeremy Shockey,CAR,2011.0,9.0,28.0,314.0,2.0,57.4
Julius Thomas,DEN,2011.0,6.0,27.0,279.0,2.0,53.4
Dennis Pitta,BAL,2011.0,5.0,25.0,275.0,2.0,52.0
Martellus Bennett,DAL,2011.0,5.0,24.0,265.0,2.0,50.5
Michael Hoomanawanui,STL,2011.0,5.0,22.0,256.0,2.0,48.6
Daniel Fells,DEN,2011.0,6.0,22.0,256.0,2.0,48.6
Zach Miller,JAC,2011.0,9.0,22.0,255.0,2.0,48.5
Fred Davis,WAS,2011.0,5.0,23.0,245.0,2.0,46.0
Kyle Rudolph,MIN,2011.0,9.0,21.0,231.0,2.0,45.6
Delanie Walker,SF,2011.0,7.0,18.0,212.0,2.0,42.2
David Thomas,NO,2011.0,11.0,17.0,186.0,2.0,39.1
Scott Chandler,BUF,2011.0,7.0,15.0,156.0,2.0,33.1
Randy McMichael,SD,2011.0,6.0,17.0,185.0,1.0,33.0
Luke Stocker,TB,2011.0,8.0,15.0,167.0,1.0,30.2
Matt Spaeth,CHI,2011.0,8.0,14.0,157.0,1.0,28.7
Jacob Tamme,IND,2011.0,11.0,14.0,151.0,1.0,28.1
Daniel Graham,TEN,2011.0,6.0,14.0,145.0,1.0,27.5
David Martin,BUF,2011.0,7.0,14.0,144.0,1.0,27.4
Joel Dreessen,HOU,2011.0,11.0,12.0,146.0,1.0,26.6
Tony Stewart,OAK,2011.0,8.0,9.0,109.0,1.0,21.4
Jeff King,ARI,2011.0,6.0,12.0,137.0,0.0,19.7
Clay Harbor,PHI,2011.0,7.0,6.0,66.0,1.0,15.6
Justin Peelle,ATL,2011.0,8.0,7.0,82.0,0.0,11.7
James Casey,HOU,2011.0,11.0,6.0,72.0,0.0,10.2
